<Course>,<User Name>,<User ID>,<Tested on>,<Taken Time>,<Score>,<Rate>,<Deviation>
ClassName,Chaim Shaw,1950010120,2020-03-26,?,50,100%,50.0
ClassName,Jemima Finch,1950016691,2020-05-19,?,50,100%,50.0
ClassName,Hadley Hampton,1950014860,2020-07-10,?,50,100%,50.0
ClassName,Kameko Rutledge,1950012953,2019-08-13,?,50,100%,50.0
ClassName,Emma Paul,1950010397,2019-10-08,?,50,100%,50.0
ClassName,MacKenzie Kerr,1950018744,2019-06-07,?,50,100%,50.0
ClassName,Baker Maddox,1950013356,2020-02-16,?,50,100%,50.0
ClassName,Cadman Bennett,1950010948,2019-09-16,?,50,100%,50.0
ClassName,Jarrod Barlow,1950010737,2019-10-08,?,50,100%,50.0
ClassName,Allen Kidd,1950013385,2021-03-17,?,50,100%,50.0
ClassName,Michael Herrera,1950015327,2019-09-29,?,50,100%,50.0
ClassName,Hilda Davis,1950017287,2020-04-12,?,50,100%,50.0
ClassName,Jason Whitaker,1950013995,2020-05-25,?,50,100%,50.0
ClassName,Astra James,1950011257,2020-05-08,?,50,100%,50.0
ClassName,Lana Rivers,1950016552,2020-03-02,?,50,100%,50.0
ClassName,Ross Farley,1950017585,2020-02-16,?,50,100%,50.0
ClassName,Fleur Mcfadden,1950010950,2020-07-18,?,50,100%,50.0
ClassName,Berk Potter,1950014473,2019-12-24,?,50,100%,50.0
ClassName,Ifeoma Ferrell,1950012518,2019-10-25,?,50,100%,50.0
ClassName,Savannah Carson,1950014666,2020-01-19,?,50,100%,50.0
ClassName,Pearl Porter,1950016914,2020-01-12,?,50,100%,50.0
ClassName,Basia Caldwell,1950018940,2020-02-15,?,50,100%,50.0
ClassName,Clinton Hebert,1950011967,2019-07-16,?,50,100%,50.0
ClassName,Kelsie Russell,1950018431,2021-03-27,?,50,100%,50.0
ClassName,Logan Whitaker,1950014506,2020-03-01,?,50,100%,50.0
ClassName,Todd Dejesus,1950013493,2021-02-10,?,50,100%,50.0
ClassName,Hoyt Allen,1950015115,2019-06-15,?,50,100%,50.0
ClassName,Tamekah Jensen,1950011700,2020-09-07,?,50,100%,50.0
ClassName,Abra Slater,1950017450,2020-01-07,?,50,100%,50.0
ClassName,Patricia Whitehead,1950010019,2021-03-16,?,50,100%,50.0
ClassName,Chester Burris,1950011132,2020-03-26,?,50,100%,50.0
ClassName,Chastity Beck,1950019941,2019-06-02,?,50,100%,50.0
ClassName,Karina Cotton,1950013074,2019-05-04,?,50,100%,50.0
ClassName,Venus Webster,1950015074,2019-10-11,?,50,100%,50.0
ClassName,Malachi Conley,1950016927,2020-07-15,?,50,100%,50.0
ClassName,Sade Shields,1950014635,2021-03-05,?,50,100%,50.0
ClassName,Buckminster Norman,1950013283,2020-10-10,?,50,100%,50.0
ClassName,Quynn Smith,1950013219,2020-10-14,?,50,100%,50.0
ClassName,Sage Talley,1950012006,2020-01-31,?,50,100%,50.0
ClassName,Fredericka Vaughn,1950011713,2020-11-12,?,50,100%,50.0
ClassName,Tashya Powell,1950014663,2019-09-02,?,50,100%,50.0
ClassName,Yardley Pena,1950010897,2021-01-13,?,50,100%,50.0
ClassName,Rajah Meyers,1950011321,2020-02-11,?,50,100%,50.0
ClassName,Tanisha Sharpe,1950011290,2019-06-23,?,50,100%,50.0
